Words,HomoDensity,Num-Neighbors,Freq-Neighbors
毫不费力,1,0,0
奇人,1,33,41748
出发点,1,0,0
"阻隔, 组阁",2,12,2808
何止,1,20,8475
贪得无厌,1,0,0
窘迫,1,4,955
卷子,1,59,33474
背信弃义,1,0,0
衣冠楚楚,1,0,0
金表,1,6,16971
通关,1,15,5853
以北,1,3,702
好似,1,15,22812
入迷,1,6,409
领略,1,10,1742
皮夹克,1,0,0
山头,1,32,4817
火辣辣,1,0,0
一下下,1,0,0
交警,1,12,4114
火车票,1,1,235
预选,1,15,4841
写照,1,13,2884
表现力,1,0,0
饮品,1,9,3711
旷野,1,6,770
占上风,1,0,0
欧盟,1,1,192
半身像,1,0,0
飙升,1,25,95304
亲王,1,8,1350
率先,1,2,739
通俗,1,7,2769
登门,1,14,5390
特种兵,1,0,0
算盘,1,4,1177
软化,1,17,3647
康乃馨,1,0,0
衬托,1,7,9993
强求,1,12,4195
大赦,1,44,15646
好头,1,19,7789
举足轻重,1,0,0
辣味,1,22,10858
启迪,1,12,39072
开曼,1,20,3017
方便面,1,0,0
高浓度,1,0,0
有助,1,31,14126
噩耗,1,21,7136
多样性,1,0,0
僧人,1,22,21774
普通话,1,0,0
坐冷板凳,1,0,0
绿帽子,1,0,0
光彩夺目,1,0,0
难产,1,13,5428
甜酒,1,12,3609
漂漂亮亮,1,0,0
树干,1,8,4013
"目视, 墓室",2,78,150749
有劲,1,26,12876
燃烧弹,1,0,0
狂风,1,8,994
胜仗,1,19,9668
顺手牵羊,1,0,0
路线图,1,0,0
吞并,1,3,1142
繁华,1,8,2075
大马士革,1,0,0
国庆节,1,0,0
饭盒,1,19,26062
医用,1,53,121662
恶霸,1,10,24741
分得,1,16,3728
"庙宇, 妙语",2,15,2525
"游历, 尤利, 尤莉",3,48,25998
爱惜,1,17,10198
零碎,1,9,863
档案馆,1,0,0
"单向, 单项",2,21,9475
荒漠,1,11,4957
每况愈下,1,0,0
核反应堆,1,0,0
考核,1,14,3487
丁香,1,7,1815
机械化,1,0,0
水泵,1,10,968
营房,1,11,5216
军中,1,11,18469
带动,1,32,8641
切尔诺贝利,1,0,0
"砂锅, 沙锅",2,8,3179
痛失,1,14,11577
枫叶,1,28,7898
私了,1,6,2700
"质数, 植树",2,31,24365
自制力,1,1,55
为数不多,1,0,0
荡秋千,1,0,0
波及,1,37,15444
震天,1,9,6551
"情意, 情义",2,41,36614
前段,1,21,7336
土著人,1,0,0
钻井,1,4,567
变戏法,1,0,0
铺天盖地,1,0,0
得失,1,11,3660
盆栽,1,0,0
训话,1,29,39787
源源不断,1,0,0
变卦,1,17,5762
音乐声,1,2,254
蜜桃,1,6,581
认字,1,14,23026
瘦弱,1,18,4973
油价,1,20,10508
驶向,1,25,24768
背离,1,5,1963
无用功,1,0,0
多于,1,9,1117
遮蔽,1,6,2007
种植园,1,0,0
洗劫一空,1,0,0
高举,1,9,2483
谁家,1,13,17852
招致,1,16,4780
大婶,1,22,5622
轻轨,1,11,13084
虎口,1,3,468
甄选,1,11,1717
挺身,1,7,1728
升降,1,23,20970
税金,1,6,2439
游玩,1,12,3590
无所适从,1,0,0
巴伦西亚,1,0,0
创世,1,78,149150
"电机, 奠基",2,28,6222
雄伟,1,6,2914
游乐,1,16,9107
面上,1,22,13978
联播,1,7,4028
过多,1,6,1284
"三脚架, 三角架",2,0,0
强制性,1,0,0
恼怒,1,1,2165
音准,1,7,5549
下岗,1,14,5650
壁纸,1,13,8671
霰弹,1,26,100936
神采奕奕,1,0,0
亲朋好友,1,0,0
红花,1,6,745
稳重,1,9,3322
"搡, 嗓",2,261,6566592
悦耳,1,11,1116
柔美,1,5,4904
贵妇,1,14,6169
梦乡,1,4,4912
汉语,1,17,3297
尽心,1,32,9401
产量,1,11,2629
六千,1,3,423
驻足,1,10,3795
老路,1,21,4718
狂喜,1,0,0
评头论足,1,0,0
脑瓜,1,3,2199
沾沾自喜,1,0,0
难懂,1,9,3724
小毛,1,11,16889
分化,1,27,14858
出列,1,30,28583
旧日,1,22,39635
神经错乱,1,0,0
职业病,1,0,0
落井下石,1,0,0
自知之明,1,0,0
采矿,1,5,824
仁爱,1,17,9090
单程票,1,0,0
私刑,1,21,6300
攻占,1,42,39894
进驻,1,28,21808
输油管,1,0,0
"晦气, 会器",2,36,16336
初始化,1,0,0
威士忌酒,1,0,0
装卸,1,18,7051
经文,1,19,14310
母语,1,12,2161
零点,1,10,1400
打得火热,1,0,0
青山,1,15,4616
混杂,1,2,2374
天籁,1,16,4639
恪守,1,25,10136
无所不在,1,0,0
自习,1,25,18134
暗喻,1,14,6933
商业化,1,0,0
滑雪板,1,0,0
剧痛,1,12,4960
胸肌,1,15,8276
人流,1,23,10387
长存,1,12,2985
缴械,1,15,14487
年底,1,6,429
冷冰冰,1,0,0
手感,1,22,7861
陆续,1,21,20525
晚年,1,8,1590
儿歌,1,4,304
乙醇,1,7,34838
课后,1,22,24430
"真意, 真义, 珍异",3,33,33836
迅猛,1,0,0
巨无霸,1,0,0
也门,1,11,1387
啧啧,1,3,1792
商业街,1,0,0
安大略,1,0,0
初选,1,19,4877
辛劳,1,21,9350
随行,1,26,8191
蒙骗,1,4,1064
停业,1,18,6437
很早以前,1,0,0
通讯录,1,0,0
"环形, 环行",2,29,7282
哥本哈根,1,0,0
按揭,1,10,2643
深水,1,17,9248
卑贱,1,19,9027
"连通, 联通",2,7,3161
平复,1,22,8104
人脑,1,10,3601
"调制, 调治",2,24,8615
动乱,1,17,8385
风笛,1,13,7201
从始至终,1,0,0
此人,1,23,32622
诡计多端,1,0,0
叫好,1,20,10992
平日,1,17,4609
鹿岛,1,13,1983
污染物,1,0,0
秃鹫,1,7,866
拍卖行,1,0,0
走后门,1,0,0
软膏,1,1,59
一律,1,52,122187
骗取,1,7,994
威严,1,14,5746
阳刚,1,3,1495
万福,1,18,7073
矜持,1,15,11189
养子,1,8,1429
后尘,1,11,4409
强奸罪,1,1,177
草拟,1,1,60
曾祖母,1,0,0
不得而知,1,0,0
便携式,1,0,0
设身处地,1,0,0
太阳穴,1,2,173
摘要,1,5,45151
动力学,1,0,0
起价,1,19,9241
票据,1,18,20131
炽热,1,0,0
装车,1,17,4536
跺脚,1,7,503
灌溉,1,9,5617
"木箱, 木香",2,13,8603
弧线,1,21,4845
变故,1,22,11900
纵队,1,13,5213
调和,1,23,15919
温度计,1,0,0
瓢虫,1,3,269
息息相关,1,0,0
波折,1,5,1655
戏码,1,14,13957
产卵,1,1,879
蒲公英,1,0,0
定向,1,31,9127
口风,1,6,1193
蓝宝石,1,1,68
老挝,1,10,12891
磨牙,1,6,1222
不相上下,1,0,0
"鬓, 摈, 傧, 殡, 髌",5,305,7172654
润滑,1,1,103
白大褂,1,0,0
脸面,1,14,14319
还款,1,7,1128
控制塔,1,0,0
厂商,1,6,1274
船身,1,20,4638
不尽,1,35,85048
苦果,1,3,853
十分之一,1,0,0
大虾,1,23,25458
仇敌,1,5,599
魔方,1,9,2897
吝啬鬼,1,0,0
轻装,1,18,6046
饱满,1,12,6040
操作员,1,0,0
受阻,1,6,749
奇幻,1,13,11843
天日,1,19,9093
景点,1,15,10615
打哈欠,1,0,0
凝望,1,12,3990
炒作,1,6,1660
断言,1,9,1408
静坐,1,37,11759
单间,1,19,25157
紫红色,1,1,175
"路卡, 露卡",2,7,971
矿山,1,6,1245
囚徒,1,16,3005
令人满意,1,0,0
苏瓦,1,1,156
民歌,1,4,331
语言学,1,0,0
汲取,1,14,5634
独子,1,16,7409
接过,1,23,28333
"浇灌, 娇惯",2,22,8268
号外,1,13,7877
"雄狮, 雄师",2,9,1942
碳酸,1,3,373
进修,1,16,3820
除夕夜,1,0,0
"债主, 寨主",2,7,832
打雷,1,12,2826
健身操,1,0,0
夸耀,1,5,45137
转院,1,16,3124
黑麦,1,12,4883
崴,1,262,6570706
装货,1,16,5018
诊室,1,49,86855
赛后,1,20,20183
革命者,1,0,0
成千,1,15,9634
特拉维夫,1,0,0
上浮,1,28,10762
倒胃口,1,0,0
柔顺,1,3,228
更衣,1,10,4923
咎由自取,1,0,0
双鱼,1,26,31116
自得其乐,1,0,0
桥头,1,24,5174
繁重,1,10,5154
高峰期,1,0,0
左轮,1,1,79
沦陷,1,20,4492
哑剧,1,6,3063
良药,1,8,27411
逮捕证,1,1,158
安全性,1,2,615
口口声声,1,0,0
蒙混过关,1,0,0
改行,1,8,705
磁碟,1,7,1669
推行,1,14,2380
"鼾, 憨, 蚶, 酣",4,279,3223599
皮层,1,8,689
姑且,1,1,36
松果,1,8,1643
误杀,1,9,4083
"苦工, 苦功",2,9,2393
冰上,1,28,16129
研究室,1,0,0
打岔,1,24,15549
传呼机,1,1,50
做手脚,1,0,0
不配,1,24,82414
南北战争,1,0,0
驶去,1,11,17885
数以百计,1,0,0
天文,1,18,7395
大体,1,32,8047
先天,1,18,74442
论证,1,13,2665
戒心,1,25,7512
巡航,1,11,5556
这般,1,10,70299
"构建, 构件",2,25,36161
策划者,1,0,0
水坑,1,9,882
缩头,1,28,4122
名曲,1,9,5417
停滞不前,1,0,0
女性化,1,0,0
微量元素,1,0,0
选择性,1,0,0
耀斑,1,8,3544
内行,1,7,1812
翻来覆去,1,0,0
急促,1,25,7694
评委会,1,0,0
俏皮话,1,0,0
碎裂,1,14,3832
前哨,1,16,5790
反反复复,1,0,0
谬论,1,3,588
伪钞,1,6,937
刺骨,1,8,4390
盆子,1,52,87405
老东西,1,1,49
冰层,1,9,866
操守,1,32,16931
隐约,1,9,5999
飞鱼,1,27,36736
随叫随到,1,0,0
驶入,1,13,6256
污辱,1,6,2315
散热器,1,0,0
荒郊,1,4,1074
寸步不离,1,0,0
灯火,1,11,16233
止境,1,29,43470
"大河, 大和",2,40,36005
"异乡, 异香",2,9,21856
羊毛衫,1,0,0
加进,1,41,13487
依恋,1,51,121625
外地人,1,0,0
诉诸,1,4,274
误差,1,2,110
能人,1,27,34556
腹股沟,1,0,0
放映机,1,0,0
胸有成竹,1,0,0
奔走,1,8,2243
"摊子, 瘫子",2,35,15890
案犯,1,21,8094
超群,1,4,3162
拿骚,1,1,60
清教徒,1,0,0
天长地久,1,0,0
娇娃,1,11,2368
溢出,1,26,29815
调查处,1,1,74
前兆,1,18,6501
烟鬼,1,5,894
传送带,1,0,0
慢动作,1,0,0
时刻表,1,0,0
上亿,1,74,74052
车座,1,19,38040
"凸显, 突显",2,4,1181
特派员,1,0,0
遍地,1,33,28178
保鲜,1,11,8463
天文台,1,0,0
革命性,1,0,0
下海,1,15,6257
交上,1,39,23370
霓裳,1,10,3779
裤衩,1,0,0
演奏家,1,0,0
随地,1,13,7089
象形文字,1,0,0
红绿灯,1,0,0
撒手,1,33,20502
身段,1,24,16564
反问,1,17,11754
这么些,1,0,0
贪吃,1,3,229
不堪回首,1,0,0
肥大,1,9,2512
高加索,1,0,0
大奖赛,1,0,0
转眼,1,9,7396
蜂拥而至,1,0,0
牛角,1,5,1971
"全数, 拳术, 权术",3,23,23442
即使如此,1,0,0
望风,1,11,2283
烘焙,1,7,1802
据称,1,9,1688
杂烩,1,18,6585
合一,1,20,11280
如常,1,13,15268
身下,1,34,46023
红颜,1,13,4749
撰稿人,1,0,0
恶果,1,6,3440
"理事, 里氏, 里士",3,58,94517
过目不忘,1,0,0
加害,1,24,15000
傻气,1,16,7044
设计者,1,0,0
正大光明,1,0,0
三千万,1,1,155
专机,1,19,10831
"就地, 旧地",2,33,61084
助产,1,9,5864
俗语,1,5,782
油腻,1,16,9177
父辈,1,24,7855
叫嚣,1,13,3470
活宝,1,6,1401
点点滴滴,1,0,0
巴拉圭,1,0,0
发扬,1,19,3997
端倪,1,3,225
"房前, 房钱",2,8,2312
俯身,1,9,1975
星条旗,1,0,0
限定,1,31,106177
打枪,1,15,7511
"不及, 布吉",2,49,34487
"富于, 负于",2,18,9507
免不了,1,1,40
善举,1,1,37
控股,1,6,4287
法学,1,7,4058
寓意,1,52,25996
减半,1,23,6177
追悼,1,22,216811
"声势, 生事",2,71,56642
"文斯, 文思",2,8,2256
类别,1,10,9763
老伴,1,17,9392
可兰经,1,0,0
苟同,1,2,102
大力神,1,0,0
废掉,1,19,6594
人脸,1,8,2143
"青铜, 青桐",2,13,3979
上色,1,34,33853
茶杯,1,5,1238
中层,1,17,5667
母校,1,11,4226
厚厚的,1,0,0
上半场,1,0,0
野草,1,4,26726
任凭,1,8,41119
角膜,1,5,955
猪圈,1,2,378
"工商, 工伤",2,19,18239
栖息地,1,0,0
社会保险,1,0,0
参半,1,15,4189
水压,1,13,1634
搞搞,1,5,445
眼花缭乱,1,0,0
清道夫,1,0,0
检点,1,16,9179
耍嘴皮子,1,0,0
紧急状态,1,0,0
雨天,1,6,7832
紧要,1,15,18352
阿斯匹林,1,0,0
留存,1,10,3788
遍及,1,32,14157
寒舍,1,4,1005
死对头,1,0,0
无政府主义,1,0,0
展露,1,7,3299
百科,1,4,1357
撕毁,1,10,5059
错位,1,28,17404
旧案,1,32,41008
问世,1,78,148622
起家,1,17,4496
"牧羊, 穆阳",2,11,5927
氮气,1,30,65730
老五,1,11,6064
勤务,1,19,9313
剪接,1,10,6284
接任,1,24,17607
少年犯,1,0,0
"捣鬼, 导轨",2,10,1355
海洋生物,1,0,0
"氏族, 士卒",2,24,46619
眉头,1,27,5141
"同心, 童心",2,23,8703
"症候, 征候",2,18,15927
剃须刀,1,0,0
太空舱,1,0,0
专攻,1,13,3468
拣到,1,32,53244
愚人节,1,0,0
嘟囔,1,3,459
领航员,1,1,207
稳操胜券,1,0,0
百事,1,55,77279
程序员,1,1,62
诱捕,1,11,4666
这么样,1,0,0
追加,1,17,14998
羊绒,1,7,1186
枫树,1,33,5956
实质性,1,0,0
倒不如,1,0,0
专卖,1,11,3781
飞鹰,1,7,6637
空心,1,34,36632
自讨苦吃,1,0,0
纵情,1,15,33709
东躲西藏,1,0,0
填充物,1,0,0
外泄,1,17,59135
对白,1,8,2415
势均力敌,1,0,0
野心勃勃,1,0,0
泡影,1,7,8188
播种,1,6,19852
腹痛,1,19,5505
老爷车,1,0,0
贝尔格莱德,1,0,0
刀具,1,17,7115
狠毒,1,3,501
氢氧化钠,1,0,0
代名词,1,0,0
简单化,1,0,0
产后,1,11,10234
蓝领,1,3,219
理赔,1,11,5109
"烈日, 列日",2,12,2057
总额,1,5,922
柏油,1,14,2577
博学,1,12,3186
得奖,1,8,1423
手足,1,11,3556
体质,1,9,5925
"心得, 辛德, 心德",3,22,10704
古墓,1,16,3320
出乱子,1,0,0
起色,1,25,8733
目瞪口呆,1,0,0
出纳员,1,0,0
预防针,1,0,0
出诊,1,14,3925
牢不可破,1,0,0
调停,1,6,927
省去,1,6,7462
千方百计,1,0,0
命根子,1,0,0
招认,1,11,1758
各项,1,26,13411
推移,1,6,600
蛊惑,1,17,4050
隔热,1,10,3166
愈演愈烈,1,0,0
宇航,1,8,1840
乡亲,1,16,6403
西贡,1,18,31120
条件反射,1,0,0
平滑,1,16,4665
"内核, 内河",2,19,24823
华沙,1,5,4820
鱼竿,1,13,2732
册子,1,59,33474
"留级, 留吉, 刘吉",3,28,11514
给养,1,9,1876
"指骨, 趾骨",2,16,10076
帝国主义,1,0,0
遗址,1,13,7007
狼群,1,8,1000
躲闪,1,1,175
"脱节, 托杰",2,19,2810
鹰爪,1,7,5244
搭桥,1,3,347
柳树,1,12,4899
寒酸,1,2,102
行装,1,13,3108
跳蚤市场,1,0,0
懊恼,1,4,4785
补补,1,1,197
钢琴师,1,1,47
缩水,1,12,2373
立方,1,15,26701
"欺凌, 七零",2,8,2344
"卯, 昴, 冇",3,263,6572878
挂到,1,28,54408
示意图,1,0,0
厂家,1,12,3554
普照,1,3,282
庆祝会,1,1,49
保护神,1,1,113
左臂,1,9,35772
火炮,1,15,18741
无言,1,28,8885
说大话,1,0,0
说起,1,12,37509
勘测,1,6,1680
刑法,1,17,18948
发福,1,25,16163
不由,1,34,32621
轻伤,1,18,6073
"允, 陨, 殒",3,263,6569137
天花,1,10,2982
死去活来,1,0,0
唆使,1,8,34684
黑脸,1,7,994
单打,1,10,1291
助攻,1,17,4048
书法,1,17,8383
生物体,1,1,84
攀升,1,25,95028
无意间,1,0,0
死敌,1,8,6066
航母,1,2,160
随处,1,8,5738
闻所未闻,1,0,0
木屐,1,32,11525
独有,1,19,176462
野鸡,1,26,9956
猪猡,1,7,1372
人味,1,26,12838
剩饭,1,25,12162
米老鼠,1,0,0
午宴,1,26,21765
舱口,1,13,4754
第十六,1,1,61
摇摇晃晃,1,0,0
组织者,1,0,0
"租借, 租界",2,8,593
糖衣,1,14,10059
苟延残喘,1,0,0
大姑娘,1,0,0
"打颤, 打战",2,29,19161
机库,1,34,26887
涨价,1,13,8411
"累人, 泪人",2,37,24795
擦痕,1,2,440
新闻网,1,0,0
涌动,1,23,7930
仪表盘,1,0,0
造福,1,18,9731
过渡期,1,0,0
软组织,1,0,0
方形,1,15,2265
抓拍,1,3,543
"稀薄, 西伯",2,14,3674
防弹玻璃,1,0,0
选举权,1,0,0
承包人,1,0,0
天庭,1,18,9470
军医,1,12,5570
萌芽,1,3,316
溜冰鞋,1,0,0
意中人,1,0,0
训斥,1,4,3832
"丑话, 丑化",2,18,3520
侵略者,1,0,0
拘泥,1,3,470
粪坑,1,0,0
速冻,1,25,8103
自食其力,1,0,0
期望值,1,0,0
顶点,1,13,8434
"巴结, 八节",2,14,3011
特使,1,14,4942
生鱼片,1,0,0
隐士,1,61,78943
写真,1,10,1941
培训班,1,0,0
西人,1,32,24411
酿成,1,28,15488
捷足先登,1,0,0
球体,1,14,4569
跨国,1,11,4572
平淡无奇,1,0,0
伤残,1,9,2180
槲寄生,1,0,0
合体,1,24,7074
嘴角,1,10,6236
本来面目,1,0,0
重提,1,7,945
花环,1,9,1998
波涛,1,6,1908
钻研,1,13,2604
外景,1,10,4252
国库,1,11,3099
致富,1,32,14098
"马来, 马莱",2,10,45822
收缴,1,10,1781
水枪,1,11,1567
爆竹,1,8,3391
差强人意,1,0,0
音乐界,1,3,764
逆向,1,22,7298
锦上添花,1,0,0
换气,1,28,11822
小辫子,1,2,229
珠宝商,1,0,0
驱逐舰,1,0,0
大宗,1,23,25134
扎根,1,0,0
菩萨,1,0,0
电磁波,1,0,0
体态,1,14,4336
牛粪,1,5,1129
方方面面,1,0,0
赞颂,1,9,1850
荧屏,1,6,4151
物归原主,1,0,0
床头,1,21,3702
"因缘, 姻缘, 音源",3,23,7652
狂饮,1,0,0
情网,1,9,2750
四海,1,8,1456
武功,1,15,4878
"探查, 探察",2,6,6588
大野,1,26,6175
求职,1,19,4497
把持,1,7,6554
电钻,1,16,25746
止血钳,1,0,0
担保人,1,0,0
滑溜,1,2,300
随处可见,1,0,0
深究,1,26,15444
刀柄,1,2,337
排水沟,1,0,0
堂姐,1,4,1062
惊叫,1,23,15945
野种,1,8,29115
救济院,1,0,0
陈列,1,14,3191
高枕无忧,1,0,0
拉萨,1,2,273
啄木鸟,1,0,0
个儿,1,8,9421
俏皮,1,3,211
"心腹, 新妇",2,41,13817
写入,1,20,5011
"诱发, 幼发",2,12,2648
穷苦,1,0,0
洗浴,1,16,48232
小人儿,1,0,0
天竺,1,14,3885
啤酒瓶,1,0,0
转体,1,9,1337
片儿,1,4,25166
军火库,1,0,0
阵脚,1,9,1052
新教徒,1,1,68
盗窃罪,1,0,0
瘸腿,1,0,0
洛杉矶市,1,0,0
力求,1,14,6061
互利,1,49,16950
"浴场, 渔场, 鱼场",3,23,9142
杞人忧天,1,0,0
见分晓,1,0,0
国境,1,23,6047
调度员,1,0,0
镶嵌,1,19,7423
香波,1,16,6302
胸怀,1,7,682
令人钦佩,1,0,0
纯情,1,12,2746
"吉斯, 吉思, 吉丝",3,14,5665
信鸽,1,9,4608
从军,1,8,1145
问号,1,21,7055
局内,1,5,1207
暗藏,1,5,1139
夸脱,1,3,755
呼吸道,1,1,59
"定价, 订价",2,22,4847
空谈,1,8,1353
领路,1,22,3916
积木,1,35,25753
可行性,1,1,794
鸣枪,1,10,16110
找钱,1,16,15057
剃头,1,21,4956
传导,1,13,5952
隐匿,1,13,2974
血案,1,18,5910
隆隆,1,5,837
常青藤,1,1,72
奇兵,1,13,24568
"贾斯帕, 贾丝帕",2,0,0
不屑一顾,1,0,0
"刊物, 勘误",2,12,3317
两性,1,14,3789
收录,1,20,10788
化工厂,1,0,0
蜂房,1,19,8579
难于,1,27,8495
排卵,1,4,314
挺起,1,5,4133
"杀敌, 沙迪",2,4,3262
"弦乐, 弦月",2,8,1813
片面,1,23,27315
不济,1,34,85868
猫腻,1,0,0
日前,1,17,9920
医嘱,1,21,58943
副业,1,31,11593
淋漓尽致,1,0,0
"费事, 费氏",2,80,149841
心肝宝贝,1,0,0
众目睽睽,1,0,0
酒厂,1,11,2551
联网,1,9,1862
上机,1,40,12065
清凉,1,17,3562
名列,1,18,5133
踏足,1,4,1029
费尽心机,1,0,0
植物园,1,3,575
摩纳哥,1,1,90
封锁线,1,0,0
厮杀,1,10,3535
海蜇,1,11,1740
"近视, 进士",2,87,160842
花匠,1,9,1108
冷藏室,1,0,0
焚化炉,1,0,0
哨兵,1,7,2195
堂兄弟,1,0,0
电影票,1,1,231
驰骋,1,5,1252
毫无办法,1,0,0
小艇,1,11,12778
航天飞机,1,0,0
"市价, 事假",2,54,35954
路由器,1,0,0
赤道,1,28,56751
好在,1,18,24076
一遍遍,1,0,0
灵验,1,9,1774
忍气吞声,1,0,0
油彩,1,8,1656
原野,1,11,2139
天理,1,26,22604
狐朋狗友,1,0,0
"裁剪, 裁减",2,2,1211
灾祸,1,7,2559
悉心,1,41,37288
火枪,1,11,4373
顺势,1,77,150849
类比,1,6,892
翻云覆雨,1,0,0
"牟利, 谋利",2,35,16370
探针,1,4,3421
无穷无尽,1,0,0
独行侠,1,0,0
野战,1,8,4101
"字样, 自养",2,28,87252
欲擒故纵,1,0,0
单个,1,8,1671
家畜,1,25,9854
眼角,1,13,6910
人鱼,1,21,9869
绰绰有余,1,0,0
其后,1,19,95063
趾高气扬,1,0,0
开导,1,23,36354
塞族,1,5,1165
赖以,1,5,473
登机牌,1,0,0
飞贼,1,14,30325
先机,1,19,55427
皱眉头,1,0,0
屈从,1,8,2203
拆穿,1,3,316
弟子,1,22,12044
脑炎,1,7,2702
先科,1,8,47728
新作,1,29,38751
心心相印,1,0,0
班房,1,8,1550
凶悍,1,8,10852
跑动,1,19,5263
头盖骨,1,0,0
一万五,1,0,0
"咽气, 厌弃",2,29,13227
进行曲,1,0,0
不堪一击,1,0,0
本世纪,1,0,0
功率,1,35,39404
症结,1,17,3464
遵纪守法,1,0,0
伴舞,1,17,20425
江原道,1,0,0
"高材生, 高才生",2,0,0
掩人耳目,1,0,0
盎然,1,8,9890
纰漏,1,3,197
郁郁,1,32,32586
惩戒,1,27,16323
"遏制, 扼制",2,37,25316
保证金,1,1,134
长命百岁,1,0,0
目不转睛,1,0,0
圣城,1,35,16252
掉队,1,18,13376
赶跑,1,7,3633
抄写,1,8,1431
非正常,1,0,0
志同道合,1,0,0
伯明翰,1,0,0
人际,1,22,11807
大喊,1,24,5760
非礼,1,25,22476
圆顶,1,15,2819
保险费,1,2,234
在所不惜,1,0,0
西装革履,1,0,0
蝗虫,1,6,661
东京都,1,0,0
详谈,1,5,9087
作乐,1,37,18248
店面,1,36,52397
不胜,1,35,8543
根部,1,18,7987
感化,1,26,25997
各方,1,12,26483
朝廷,1,2,225
散会,1,18,9269
地下水,1,0,0
松口,1,15,5195
良性,1,15,6567
名利场,1,0,0
主治医师,1,1,60
见地,1,35,45938
娼妇,1,21,8519
砖块,1,14,5891
引燃,1,12,8291
心疼,1,19,9055
燕子,1,14,4323
患难,1,6,727
"突围, 图维",2,16,18866
午觉,1,28,14446
泥沼,1,4,3091
"主音, 主因",2,11,2519
多此一举,1,0,0
炮手,1,23,9654
投奔,1,11,4082
文案,1,17,8179
"湖泊, 胡博",2,8,1591
盯梢,1,5,609
间隙,1,21,23615
孤身,1,21,4619
埃菲尔,1,0,0
子公司,1,0,0
漏斗,1,4,370
甩手,1,17,6672
土包子,1,0,0
冰鞋,1,9,3900
调侃,1,5,1075
假死,1,6,937
反话,1,27,12617
骏马,1,11,9826
办事员,1,0,0
迎刃而解,1,0,0
隔离室,1,0,0
裁判员,1,0,0
残存,1,5,781
"筋骨, 金古",2,8,16420
听筒,1,1,174
喊声,1,11,4816
二手车,1,0,0
人满为患,1,0,0
女高音,1,0,0
冷汗,1,11,5370
饭局,1,9,3422
掉以轻心,1,0,0
日日夜夜,1,0,0
娘子,1,52,87405
一了百了,1,0,0
手舞足蹈,1,0,0
早年,1,7,2371
年华,1,7,3622
冠状动脉,1,0,0
最底层,1,0,0
解职,1,10,12163
哭闹,1,4,669
皱眉,1,1,121
大动脉,1,0,0
炮兵,1,7,2240
败血症,1,0,0
如出一辙,1,0,0
警服,1,8,12913
干枯,1,5,1767
代表团,1,0,0
推崇,1,4,819
"下功夫, 下工夫",2,0,0
抗原,1,15,5890
旅人,1,24,36018
桃色,1,17,10991
长进,1,14,5336
教条,1,10,3465
笔名,1,10,5147
杀身之祸,1,0,0
注目,1,33,16601
换钱,1,15,9511
动脑筋,1,0,0
成百,1,8,3700
特约,1,9,5515
真假,1,9,1141
工作台,1,2,150
发高烧,1,0,0
闲扯,1,1,526
援兵,1,13,10118
赴宴,1,23,6962
水床,1,13,2798
阿谀奉承,1,0,0
杀生,1,32,98147
心力,1,48,19192
判罚,1,7,1601
醒酒,1,6,1572
问及,1,25,40061
固执己见,1,0,0
惯性,1,17,2813
不俗,1,27,27941
爹爹,1,0,0
退让,1,6,1499
采石场,1,0,0
天底下,1,0,0
受洗,1,6,635
号房,1,11,2603
点播,1,5,398
德文郡,1,0,0
生性,1,26,37802
机子,1,33,15488
公仆,1,18,11010
"为名, 未名",2,24,17663
只怕,1,23,43241
南极洲,1,0,0
"澡堂, 澡塘",2,8,1709
盖章,1,3,236
中锋,1,27,13661
公馆,1,23,9411
下坡,1,7,2762
临别,1,5,1304
热病,1,16,2578
轻快,1,23,5584
"凌乱, 零乱",2,11,883
事业有成,1,0,0
下蛋,1,28,25342
腋下,1,44,59913
勤杂工,1,0,0
秀色,1,12,4416
肺水肿,1,0,0
责骂,1,2,246
地核,1,25,28684
全球化,1,0,0
手风琴,1,0,0
前厅,1,12,3340
联席会议,1,0,0
担负,1,27,9940
诗集,1,43,16227
商业区,1,0,0
溺爱,1,9,4369
吐血,1,3,370
形体,1,18,5874
"易燃, 毅然",2,20,13865
粗略,1,5,1111
眼见为实,1,0,0
病号,1,22,5597
进取,1,14,10792
不了了之,1,0,0
开水,1,18,36643
吹牛皮,1,0,0
"开释, 开市, 开式, 开氏",4,67,70423
"耙子, 把子, 坝子",3,60,33582
不翼而飞,1,0,0
艺术展,1,2,344
流过,1,22,32291
基辅,1,12,4731
"老道, 老到",2,23,42403
快门,1,16,4041
趋向,1,22,8690
布加勒斯特,1,0,0
特遣队,1,0,0
太监,1,24,40770
转而,1,14,25528
摒弃,1,33,12463
数学课,1,0,0
脂肪酸,1,0,0
礼拜三,1,1,64
"斥责, 叱责",2,5,4454
"记恨, 忌恨",2,25,39278
"常年, 长年",2,15,4166
滑梯,1,4,1173
换洗,1,9,2556
萨拉热窝,1,0,0
雷声,1,19,9468
宽阔,1,4,3121
嘀嗒,1,4,336
白雪,1,7,645
出警,1,18,4557
名画,1,29,10526
夹层,1,3,267
名贵,1,16,4371
进化论,1,0,0
填表,1,10,1032
接待处,1,0,0
"花卉, 花会",2,24,20764
臭氧层,1,0,0
换车,1,16,6164
刺探,1,9,938
自吹自擂,1,0,0
摩登,1,7,1083
卡其,1,6,750
椭圆,1,14,9265
清闲,1,15,3019
奶粉,1,1,1910
